	rumor	label
0	Urgent  Ramallah Ministry of Health spokesman Kamal AlShakhra We received 2000 doses of the American Moderna Corona vaccine and this batch will be designated for President Abbas the Fatah Central Committee and VIPs	REFUTES
1	Pictures from the launch of the vaccination campaign against the Coronavirus starting with the medical and health teams in Bethlehem vaccine Palestine COVID19 	SUPPORTS
2	The Ministry added that the second group that will receive the vaccine is the elderly over the age of 60 and those with chronic diseases because if they are infected with the virus they will be more susceptible to serious symptoms vaccine modernavaccine palestine COVID19	SUPPORTS
3	Yesterday the Ministry of Health announced that it had received 2000 doses of Moderna vaccine stressing that the priority in receiving antiCoronavirus vaccinations is for personnel working in the health sector as they are the group who have the most contact with patients and are most at risk of infection with the Corona virus modernavaccine palestine COVID19	SUPPORTS
4	The Minister of Health Dr MayAlkaila today Tuesday the campaign where she received the vaccine at Hogochaffer Hospital in Turmus Aya while the medical staff working in the intensive care rooms there were vaccinated with the Moderna vaccine modernavaccine palestine COVID19	SUPPORTS
5	Macron to Sky News After my visit to Mrs Fairouz last night and the visit to the Jaj Cedar Reserve I realized the love of a large section of the Lebanese people for their President of the Republic Fairouz also told me about her appreciation and love for the President and the reform project that the President of the Republic wants to implement I also salute the President of the Republic and his efforts and patience 	REFUTES
6	RT HalaHomsi Macron and Mrs Fairouz This news was not published by Sky News FactCheck  via Annahar FactCheck salmanonline	SUPPORTS
7	Good morning Beirut But this is fabricated news and supporters of the Free Patriotic Movement are not convinced that Macron did not tell Sky News at all He did not make any statement neither he nor Fayrouz such words Good morning Beirut fakenews 	SUPPORTS
8	This news attributed to Sky News Arabia is false 	SUPPORTS
9	Saudi Arabia evacuated 10 students from China in a plane that could accommodate 500 passengers and did not evacuate 170 Yemeni students with it while participating with 100 warplanes to bomb Yemen May God protect the Sultanate of Oman for sending a private plane to the Yemeni students stranded in China And what a good neighbor Oman   coOfDSIoD5ry	REFUTES
10	RT YemenPM The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days	SUPPORTS
11	Statement by the administrative body of the Yemeni Students Union in China regarding the conditions of students in Wuhan 	SUPPORTS
12	The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days	SUPPORTS
13	Deputy Prime Minister Dr Salem AlKhanbashi chairs an expanded meeting to study precautionary arrangements to prevent the spread of the Coronavirus to Yemen noting the directives of Prime Minister Dr Maeen Abdulmalik to form an emergency committee and take all measures to protect students and the Yemeni community in China 	SUPPORTS
14	Prime Minister Dr Maeen Abdulmalik makes a phone call with the Charg dAffaires of the Yemeni Embassy in China Ahmed Jaber to check on the conditions of the students and the Yemeni community stressing that the government under the directives of the President of the Republic will provide in coordination with the Chinese authorities all support to maintain their safety as a result of the outbreak of the Corona virus https tcoUK2xfjBMYk	SUPPORTS
15	The Prime Ministers directives included speeding up the disbursement of additional financial aid to Yemeni students in the Chinese city of Wuhan which was directed after the spread of the Corona virus as well as completing the transfer of thirdquarter dues to students on scholarship in China and disbursing their dues for the fourth quarter in an exceptional and urgent manner	SUPPORTS
16	Prime Minister Dr Maeen Abdulmalik chairs an emergency meeting on the Corona virus and the necessary measures to protect students and the Yemeni community in China and directs the formation of an emergency committee headed by Deputy Prime Minister Salem AlKhanbashi to follow up on students and members of the community stranded in the city of Wuhan and ways to evacuate them and give them full health care https tco0SWSLUSq3M	SUPPORTS
17	The Minister of Foreign Affairs discussed with the Ambassador of the Peoples Republic of China to our country the conditions of Yemeni nationals in China especially students and residents of the city of Wuhan and the necessary arrangements to provide them with the necessary needs and the possibility of their evacuation stressing the sending of additional financial aid to our children in the city of Wuhan 	SUPPORTS
18	The Vice President of the Republic expresses his wishes to the Yemeni students the Yemeni community and friends in China for safety due to the spread of the virus and for this crisis to end with the least losses	SUPPORTS
19	The Vice President stresses the importance of making maximum efforts to protect students and the Yemeni community there and intensifying communication with the Chinese side supporting parties brothers and friends in a way that will prevent them from being infected with the virus and prevent the epidemic from reaching our country	SUPPORTS
20	The Vice President of the Republic in his meeting with the Minister of Public Health and Population follows up on the efforts made to protect Yemeni students in China from infection with the Corona virus and preventive measures in this aspect in implementation of the directives of His Excellency Abd Rabbuh Mansour Hadi President of the Republic 	SUPPORTS
21	RT yemenmofa The Minister of Foreign Affairs discussed with the Ambassador of the Peoples Republic of China to our country the conditions of Yemeni nationals in China especially students and residents of the city of Wuhan and the necessary arrangements to provide them with the necessary needs and the possibility of their evacuation stressing the sending of additional financial aid to our children in the city of Wuhan	SUPPORTS
22	RT YemenPM Prime Minister Dr Maeen Abdulmalik chairs an emergency meeting on the Corona virus and the necessary measures to protect students and the Yemeni community in China and directs the formation of an emergency committee headed by Deputy Prime Minister Salem AlKhanbashi to follow up on students and members of the community stranded in the city of Wuhan and ways to evacuate them and give them full health care	SUPPORTS
23	RT alimohsnalahmar The Vice President of the Republic in his meeting with the Minister of Public Health and Population is following up on the efforts made to protect Yemeni students in China from being infected with the Corona virus and the preventive measures in this aspect in implementation of the directives of His Excellency President Abd Rabbuh Mansour Hadi President of the Republic	SUPPORTS
